Date,Snow Water Equivalent (in) Start of Day Values
1/1/2014,3.3
1/2/2014,3.3
1/3/2014,3.4
1/4/2014,3.4
1/5/2014,3.3
1/6/2014,3.3
1/7/2014,3.3
1/8/2014,3.3
1/9/2014,3.3
1/10/2014,3.3
1/11/2014,3.3
1/12/2014,3.3
1/13/2014,3.3
1/14/2014,3.3
1/15/2014,3.3
1/16/2014,3.3
1/17/2014,3.3
1/18/2014,3.3
1/19/2014,3.3
1/20/2014,3.3
1/21/2014,3.3
1/22/2014,3.3
1/23/2014,3.3
1/24/2014,3.3
1/25/2014,3.3
1/26/2014,3.3
1/27/2014,3.3
1/28/2014,3.3
1/29/2014,3.3
1/30/2014,4.1
1/31/2014,5.5
2/1/2014,5.7
2/2/2014,5.8
2/3/2014,5.9
2/4/2014,5.9
2/5/2014,5.9
2/6/2014,6.1
2/7/2014,6.2
2/8/2014,6.7
2/9/2014,8
2/10/2014,8.9
2/11/2014,8.9
2/12/2014,8.9
2/13/2014,9
2/14/2014,9
2/15/2014,9
2/16/2014,9.9
2/17/2014,10
2/18/2014,10
2/19/2014,10.1
2/20/2014,10
2/21/2014,10
2/22/2014,10
2/23/2014,10
2/24/2014,10
2/25/2014,10
2/26/2014,10
2/27/2014,11.2
2/28/2014,11.7
3/1/2014,13.7
3/2/2014,13.7
3/3/2014,13.8
3/4/2014,14
3/5/2014,14
3/6/2014,14.2
3/7/2014,14.3
3/8/2014,14.2
3/9/2014,14.1
3/10/2014,14.2
3/11/2014,14.3
3/12/2014,14.3
3/13/2014,14.3
3/14/2014,14.2
3/15/2014,14.2
3/16/2014,14.2
3/17/2014,14.2
3/18/2014,14.1
3/19/2014,13.9
3/20/2014,13.9
3/21/2014,13.8
3/22/2014,13.7
3/23/2014,13.7
3/24/2014,13.6
3/25/2014,13.5
3/26/2014,13.6
3/27/2014,14.3
3/28/2014,14.2
3/29/2014,14
3/30/2014,14.8
3/31/2014,14.8
4/1/2014,15.3
4/2/2014,15.3
4/3/2014,15.2
4/4/2014,15.1
4/5/2014,14.8
4/6/2014,14.7
4/7/2014,14.3
4/8/2014,13.9
4/9/2014,13.5
4/10/2014,13.5
4/11/2014,13.2
4/12/2014,13.1
4/13/2014,13.1
4/14/2014,12.8
4/15/2014,12.1
4/16/2014,11.5
4/17/2014,11
4/18/2014,10.4
4/19/2014,10.1
4/20/2014,9.9
4/21/2014,9.4
4/22/2014,8.7
4/23/2014,9
4/24/2014,8.7
4/25/2014,8
4/26/2014,9.5
4/27/2014,9.3
4/28/2014,9.3
4/29/2014,9
4/30/2014,8.5
5/1/2014,8.3
5/2/2014,7.8
5/3/2014,7.2
5/4/2014,6.6
5/5/2014,6.1
5/6/2014,5.8
5/7/2014,5.8
5/8/2014,5.6
5/9/2014,5.2
5/10/2014,5.2
5/11/2014,4.9
5/12/2014,4.7
5/13/2014,3.8
5/14/2014,2.8
5/15/2014,1.8
5/16/2014,0.9
5/17/2014,0
5/18/2014,0
5/19/2014,0
5/20/2014,0
5/21/2014,0.4
5/22/2014,0.4
5/23/2014,0
5/24/2014,0
5/25/2014,0
5/26/2014,0
5/27/2014,0
5/28/2014,0
5/29/2014,0
5/30/2014,0
5/31/2014,0
6/1/2014,0
6/2/2014,0
6/3/2014,0
6/4/2014,0
6/5/2014,0
6/6/2014,0
6/7/2014,0
6/8/2014,0
6/9/2014,0
6/10/2014,0
6/11/2014,0
6/12/2014,0
6/13/2014,0
6/14/2014,0
6/15/2014,0
6/16/2014,0
6/17/2014,0
6/18/2014,0
6/19/2014,0
6/20/2014,0
6/21/2014,0
6/22/2014,0
6/23/2014,0
6/24/2014,0
6/25/2014,0
6/26/2014,0
6/27/2014,0
6/28/2014,0
6/29/2014,0
6/30/2014,0
7/1/2014,0
7/2/2014,0
7/3/2014,0
7/4/2014,0
7/5/2014,0
7/6/2014,0
7/7/2014,0
7/8/2014,0
7/9/2014,0
7/10/2014,0
7/11/2014,0
7/12/2014,0
7/13/2014,0
7/14/2014,0
7/15/2014,0
7/16/2014,0
7/17/2014,0
7/18/2014,0
7/19/2014,0
7/20/2014,0
7/21/2014,0
7/22/2014,0
7/23/2014,0
7/24/2014,0
7/25/2014,0
7/26/2014,0
7/27/2014,0
7/28/2014,0
7/29/2014,0
7/30/2014,0
7/31/2014,0
8/1/2014,0
8/2/2014,0
8/3/2014,0
8/4/2014,0
8/5/2014,0
8/6/2014,0
8/7/2014,0
8/8/2014,0
8/9/2014,0
8/10/2014,0
8/11/2014,0
8/12/2014,0
8/13/2014,0
8/14/2014,0
8/15/2014,0
8/16/2014,0
8/17/2014,0
8/18/2014,0
8/19/2014,0
8/20/2014,0
8/21/2014,0
8/22/2014,0
8/23/2014,0
8/24/2014,0
8/25/2014,0
8/26/2014,0
