Category,ID,Latitude,Longitude,Date,MODIS_Tile,Line_Y_500m,Sample_X_500m,LE_500m,ET_QC_500m,ET_QC_500m_bitmask,ET_QC_500m_MODLAND,ET_QC_500m_MODLAND_Description,ET_QC_500m_Sensor,ET_QC_500m_Sensor_Description,ET_QC_500m_DeadDetector,ET_QC_500m_DeadDetector_Description,ET_QC_500m_CloudState,ET_QC_500m_CloudState_Description,ET_QC_500m_SCF_QC,ET_QC_500m_SCF_QC_Description
,Ne2,41.16487,-96.4701,2010-12-27,h10v04,2120.0,1770.0,32765.0,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2010-12-27,h10v04,2120.0,1770.0,32765.0,10.0,0b00001010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2011-01-01,h10v04,2120.0,1770.0,32765.0,10.0,0b00001010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2011-01-01,h10v04,2120.0,1770.0,32765.0,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne2,41.16487,-96.4701,2011-01-09,h10v04,2120.0,1770.0,32765.0,105.0,0b01101001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
,Ne2,41.16487,-96.4701,2011-01-09,h10v04,2120.0,1770.0,32765.0,107.0,0b01101011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
,Ne2,41.16487,-96.4701,2011-01-17,h10v04,2120.0,1770.0,32765.0,105.0,0b01101001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
,Ne2,41.16487,-96.4701,2011-01-17,h10v04,2120.0,1770.0,32765.0,107.0,0b01101011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
,Ne2,41.16487,-96.4701,2011-01-25,h10v04,2120.0,1770.0,32765.0,97.0,0b01100001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
,Ne2,41.16487,-96.4701,2011-01-25,h10v04,2120.0,1770.0,32765.0,99.0,0b01100011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
