datetime,Ne3_flux_twr_LE,Ne2_ref_ET
1/1/11,13.02916667,21.2962963
1/2/11,11.0875,21.2962963
1/3/11,8.143478261,18.63425926
1/4/11,11.3125,15.97222222
1/5/11,11.46666667,18.63425926
1/6/11,13.02916667,18.63425926
1/7/11,18.49166667,18.63425926
1/8/11,12.445,13.31018519
1/9/11,3.764705882,18.63425926
1/10/11,3.51,10.64814815
1/11/11,2.895833333,7.986111111
1/12/11,-2.477272727,15.97222222
1/13/11,1.95,15.97222222
1/14/11,3.879166667,13.31018519
1/15/11,7.75,10.64814815
1/16/11,8.158333333,13.31018519
1/17/11,15.8,18.63425926
1/18/11,12.10869565,13.31018519
1/19/11,4.1,10.64814815
1/20/11,1.041176471,13.31018519
1/21/11,2.643478261,13.31018519
1/22/11,3.930769231,18.63425926
1/23/11,2.545454545,7.986111111
1/24/11,5.886666667,23.9583344
1/25/11,-3.94375,15.97222222
1/26/11,-0.447058824,13.31018519
1/27/11,1.233333333,21.2962963
1/28/11,2.676923077,21.2962963
1/29/11,17.275,18.63425926
1/30/11,8.338888889,13.31018519
1/31/11,36.86666667,15.97222222
2/1/11,0.318181818,10.64814815
2/2/11,7.691666667,13.31018519
2/3/11,7.045833333,15.97222222
2/4/11,3.365217391,18.63425926
2/5/11,12.51875,18.63425926
2/6/11,18.22631579,15.97222222
2/7/11,12.70416667,10.64814815
2/8/11,8.533333333,10.64814815
2/9/11,6.395833333,15.97222222
2/10/11,6.058333333,21.2962963
2/11/11,2.408695652,26.62037037
2/12/11,1.375,26.62037037
2/13/11,3.183333333,39.93055556
2/14/11,8.854166667,58.56481481
2/15/11,36.11666667,58.56481481
2/16/11,37.96666667,61.22685185
2/17/11,74.21176471,85.18518519
2/18/11,32.6375,63.88888889
2/19/11,56.98333333,63.88888889
2/20/11,37.70833333,42.59259259
2/21/11,40.64166667,29.28240741
2/22/11,23.86666667,29.28240741
2/23/11,17.56086957,37.26851852
2/24/11,19.835,29.28240741
2/25/11,22.24583333,18.63425926
2/26/11,7.880952381,23.9583344
2/27/11,13.45,26.62037037
2/28/11,35.51304348,26.62037037
3/1/11,34.45416667,45.25462963
3/2/11,30.35416667,45.25462963
3/3/11,18.1125,50.5787037
3/4/11,19.41666667,29.28240741
3/6/11,13.6,37.26851852
3/7/11,4.383333333,39.93055556
3/9/11,43.19545455,18.63425926
3/10/11,31.14583333,58.56481481
3/11/11,35.77083333,93.1712963
3/12/11,26.6875,66.55092593
3/13/11,14.85833333,50.5787037
3/14/11,21.82083333,61.22685185
3/15/11,18.59090909,74.53703704
3/16/11,37.26,109.1435185
3/17/11,13.7875,106.4814815
3/18/11,16.20833333,63.88888889
3/19/11,22.89583333,95.833336
3/20/11,3.658333333,127.7777778
3/21/11,11.825,119.7916667
3/22/11,-2.55,135.7638889
3/23/11,40.4173913,66.55092593
3/24/11,19.01428571,63.88888889
3/25/11,5.376923077,31.94444444
3/26/11,6.831578947,23.9583344
3/27/11,29.88333333,26.62037037
3/28/11,34.29047619,39.93055556
3/29/11,24.73043478,31.94444444
3/30/11,22.76086957,42.59259259
3/31/11,9.32173913,55.90278044
4/1/11,46.33181818,87.84722222
4/2/11,16.85833333,125.1157487
4/3/11,26.30416667,133.1018519
4/4/11,31.91666667,87.84722222
4/5/11,25.34583333,138.4259339
4/6/11,17.97916667,114.4675926
4/7/11,20.31666667,87.84722222
4/8/11,24.275,111.8055635
4/9/11,22.86666667,157.0601852
4/10/11,19.25833333,162.3842593
4/11/11,32.49583333,138.4259339
4/12/11,23.64166667,143.75
4/13/11,19.4625,125.1157487
4/14/11,46.9,119.7916667
4/15/11,41.52,29.28240741
4/16/11,78.10416667,117.1296296
4/17/11,43.70666667,87.84722222
4/18/11,29.87272727,79.86111111
4/19/11,40.35333333,39.93055556
4/20/11,47.9,87.84722222
4/21/11,18.52916667,63.88888889
4/22/11,26.75,101.1574074
4/23/11,25.29583333,95.833336
4/24/11,15.12105263,55.90278044
4/25/11,5.783333333,61.22685185
4/26/11,53.4,69.21296562
4/27/11,44.03333333,98.49537037
4/28/11,38.7875,146.412037
4/29/11,41.58695652,183.6805556
4/30/11,92.99583333,119.7916667
5/1/11,33.55833333,119.7916667
5/2/11,30.90869565,114.4675926
5/3/11,18.64347826,98.49537037
5/4/11,28.30434783,125.1157487
5/5/11,50.24347826,119.7916667
5/6/11,23.225,175.6944444
5/7/11,26.27916667,157.0601852
5/8/11,14.53333333,196.9907407
5/9/11,11.68,220.9490741
5/10/11,28.44285714,220.9490741
5/11/11,50.57333333,149.0740741
5/12/11,20.23333333,138.4259339
5/13/11,78.85217391,74.53703704
5/14/11,53.52916667,74.53703704
5/15/11,39.90769231,95.833336
5/16/11,66.1,125.1157487
5/17/11,37,133.1018519
5/18/11,22.79090909,125.1157487
5/19/11,60.7,109.1435185
5/20/11,49.38,117.1296296
5/21/11,50.375,159.7222222
5/22/11,29.41666667,143.75
5/23/11,33.35263158,154.3981481
5/24/11,24.32,117.1296296
5/25/11,56.3,47.91666933
5/26/11,100.3421053,127.7777778
5/27/11,26.90555556,87.84722222
5/28/11,0.425,87.84722222
5/30/11,57.45,212.962963
5/31/11,102.9933333,186.3425926
6/1/11,52.1375,181.0185185
6/2/11,43.7125,204.9768598
6/3/11,47.50833333,239.5833333
6/4/11,44.65652174,167.7083333
6/5/11,37.44166667,207.6388889
6/6/11,50.8,247.5694444
6/7/11,56.82083333,284.837963
6/8/11,57.66818182,196.9907407
6/9/11,26.2047619,159.7222222
6/10/11,24.19090909,127.7777778
6/11/11,79.03,146.412037
6/12/11,42.09166667,157.0601852
6/13/11,19.34782609,186.3425926
6/14/11,23.335,167.7083333
6/15/11,89.5,191.6666747
6/16/11,54.96,212.962963
6/17/11,55.91904762,194.3287037
6/18/11,126.8684211,157.0601852
6/19/11,99.97391304,173.0324074
6/20/11,159.3705882,215.625
6/21/11,70.6,87.84722222
6/22/11,74.95652174,109.1435185
6/23/11,89.2,165.0463043
6/24/11,83.17368421,162.3842593
6/25/11,15.7,157.0601852
6/27/11,180.925,143.75
6/28/11,112.9625,159.7222222
6/29/11,106.7083333,212.962963
6/30/11,145.9416667,266.2037037
7/1/11,143.0708333,271.5277778
7/2/11,109.2391304,194.3287037
7/3/11,140.9,154.3981481
7/4/11,180.65,175.6944444
7/5/11,75.55,159.7222222
7/6/11,139.1208333,143.75
7/7/11,199.5,138.4259339
7/8/11,134.5181818,178.3564895
7/9/11,138.4375,194.3287037
7/10/11,148.5333333,183.6805556
7/11/11,145.1434783,183.6805556
7/12/11,84.39090909,204.9768598
7/13/11,106.9826087,162.3842593
7/14/11,114.2458333,215.625
7/15/11,113.526087,263.5416933
7/16/11,158.1952381,252.8935185
7/17/11,171.7416667,274.1898148
7/18/11,172.4708333,274.1898148
7/19/11,180.1166667,290.1620637
7/20/11,177.8708333,335.4166667
7/21/11,147.15,175.6944444
7/22/11,145.2958333,212.962963
7/23/11,81.97826087,276.8518785
7/24/11,135.3166667,234.2592593
7/25/11,166.5869565,199.6527778
7/26/11,176.3652174,234.2592593
7/27/11,175.15,228.9351852
7/28/11,126.8714286,138.4259339
7/29/11,36.35789474,162.3842593
7/30/11,139.2791667,181.0185185
7/31/11,155.0869565,215.625
8/1/11,182.6458333,255.5555556
8/2/11,140.8772727,220.9490741
8/3/11,152.1458333,189.0046296
8/4/11,105.1571429,143.75
8/5/11,61.71,125.1157487
8/6/11,162.6304348,151.7361191
8/7/11,151.3956522,154.3981481
8/8/11,199.5227273,141.087963
8/9/11,133.8045455,157.0601852
8/10/11,154.9272727,130.4398148
8/11/11,149.8869565,154.3981481
8/12/11,165.75,114.4675926
8/13/11,142.3478261,135.7638889
8/14/11,121.1909091,127.7777778
8/15/11,100.8526316,133.1018519
8/16/11,43.535,135.7638889
8/17/11,137.0583333,138.4259339
8/18/11,118.052381,162.3842593
8/19/11,121.805,138.4259339
8/20/11,101.7714286,122.4537037
8/21/11,90.13636364,122.4537037
8/22/11,134.5590909,146.412037
8/23/11,116.6761905,173.0324074
8/24/11,141.073913,186.3425926
8/25/11,131.1545455,143.75
8/26/11,63.00952381,146.412037
8/29/11,101.6772727,133.1018519
8/30/11,89.46923077,117.1296296
8/31/11,102.4083333,138.4259339
9/1/11,120.8478261,215.625
9/2/11,106.84,183.6805556
9/3/11,74.81764706,79.86111111
9/4/11,100.1375,125.1157487
9/5/11,96.19047619,106.4814815
9/6/11,75.18333333,119.7916667
9/7/11,82.11578947,111.8055635
9/8/11,78.4,125.1157487
9/9/11,74.12608696,154.3981481
9/10/11,71.08695652,135.7638889
9/11/11,69.42083333,135.7638889
9/12/11,79.65454545,220.9490741
9/13/11,40.8875,138.4259339
9/14/11,71.93,61.22685185
9/15/11,43.01764706,90.50925926
9/16/11,29.53888889,50.5787037
9/17/11,16.225,82.52315081
9/18/11,76.75,61.22685185
9/19/11,88.62666667,117.1296296
9/20/11,52.45416667,146.412037
9/21/11,40.27083333,127.7777778
9/22/11,33.62857143,90.50925926
9/23/11,25.62083333,90.50925926
9/24/11,27.6375,101.1574074
9/25/11,22.16956522,87.84722222
9/26/11,27.49166667,98.49537037
9/27/11,24.34583333,125.1157487
9/28/11,25.27391304,101.1574074
9/29/11,30.26666667,146.412037
9/30/11,17.77083333,117.1296296
10/1/11,17.59583333,109.1435185
10/2/11,18.81428571,146.412037
10/3/11,23.4,162.3842593
10/4/11,14.47916667,186.3425926
10/5/11,16.25833333,173.0324074
10/6/11,14.8,189.0046296
10/7/11,15.26666667,239.5833333
10/8/11,9.525,162.3842593
10/9/11,26.22727273,117.1296296
10/10/11,63.48,90.50925926
10/11/11,29.61578947,109.1435185
10/12/11,25.31428571,95.833336
10/13/11,40.47916667,119.7916667
10/14/11,22.05416667,101.1574074
10/15/11,19.14166667,117.1296296
10/16/11,13.7625,90.50925926
10/17/11,22.435,50.5787037
10/18/11,21.55263158,71.875
10/19/11,22.93913043,63.88888889
10/20/11,17.52173913,58.56481481
10/21/11,15.80454545,74.53703704
10/22/11,22.21333333,71.875
10/23/11,41.31111111,103.8194444
10/24/11,16.77916667,109.1435185
10/25/11,15.10869565,87.84722222
10/26/11,11.76086957,63.88888889
10/27/11,11,55.90278044
10/28/11,13.32380952,79.86111111
10/29/11,13.01666667,93.1712963
10/30/11,10.91304348,87.84722222
10/31/11,10.80434783,87.84722222
11/1/11,10.85909091,71.875
11/2/11,25.61333333,50.5787037
11/3/11,28.41304348,66.55092593
11/4/11,20.25,61.22685185
11/5/11,19.4375,87.84722222
11/6/11,16.85,82.52315081
11/7/11,16.62941176,63.88888889
11/8/11,50.56666667,37.26851852
11/9/11,33.825,63.88888889
11/10/11,19.17916667,53.24074074
11/11/11,13.1,63.88888889
11/12/11,6.166666667,47.91666933
11/13/11,23.99583333,74.53703704
11/14/11,14.50869565,74.53703704
11/15/11,13.80833333,66.55092593
11/16/11,11.8,42.59259259
11/17/11,13.51666667,55.90278044
11/18/11,8.358333333,63.88888889
11/19/11,7.625,23.9583344
11/20/11,7.258333333,31.94444444
11/21/11,5.116666667,23.9583344
11/22/11,4.210526316,23.9583344
11/23/11,9.378571429,45.25462963
11/24/11,7.791666667,71.875
11/25/11,2.831818182,45.25462963
11/26/11,22.41666667,31.94444444
11/27/11,9.875,50.5787037
11/28/11,8.826086957,34.60648414
11/29/11,7.086363636,42.59259259
